"study","fdate",day,month,year,round,"uniqueID","genus","species","caste","sex","det","collector","plant_genus_sp","plant_genus","plant_species","site","site_type","method",latitude,longitude,"latlong_accur","County","State","Country","data_entry","spec_notes","flr_notes","plantid_field","basicID","pre2010_gendet","pre2010_spdet","pre2010_det","older_sp",latitude_old,longitude_old,"taxonomy_notes","det_date"
"nsf2006","2006-04-15",15,4,2006,1,"nsf200600008","Lasioglossum","cressonii","","f","J_Ascher","rachael winfree","Prunus_avium","Prunus","avium","baldpate","reference","net",40.323194,-74.896388,"low: specimens collected throughout large area rou","Mercer","NJ","USA","KU","","","","bee","Lasioglossum","cressonii","J. Gibbs","cressonii",40.323,-74.896,NULL,NULL
"nsf2006","2006-04-15",15,4,2006,1,"nsf200600009","Lasioglossum","subviridatum","","f","J_Ascher","rachael winfree","Prunus_avium","Prunus","avium","baldpate","reference","net",40.323194,-74.896388,"low: specimens collected throughout large area rou","Mercer","NJ","USA","KU","SD: treat as unique species; he's not sure what species it is though","","","bee","Lasioglossum","subviridatum","S. Droege","subviridatum",40.323,-74.896,NULL,NULL
"nsf2006","2006-04-15",15,4,2006,1,"nsf200600010","Ceratina","calcarata","","m","J_Criscione","rachael winfree","Mertensia_virginica","Mertensia","virginica","baldpate","reference","net",40.323194,-74.896388,"low: specimens collected throughout large area rou","Mercer","NJ","USA","KU","","","","bee","Ceratina","calcarata","T. Griswold","calcarata",40.323,-74.896," ","Spring 2019"
"nsf2006","2006-04-15",15,4,2006,1,"nsf200600011","Lasioglossum","subviridatum","","f","J_Ascher","rachael winfree","Mertensia_virginica","Mertensia","virginica","baldpate","reference","net",40.323194,-74.896388,"low: specimens collected throughout large area rou","Mercer","NJ","USA","KU","","","","bee","Lasioglossum","subviridatum","J. Gibbs","subviridatum",40.323,-74.896,NULL,NULL
"nsf2006","2006-04-15",15,4,2006,1,"nsf200600012","Lasioglossum","subviridatum","","f","J_Ascher","rachael winfree","Mertensia_virginica","Mertensia","virginica","baldpate","reference","net",40.323194,-74.896388,"low: specimens collected throughout large area rou","Mercer","NJ","USA","KU","SD: treat as unique species; he's not sure what species it is though","","","bee","Lasioglossum","subviridatum","S. Droege","subviridatum",40.323,-74.896,NULL,NULL
"nsf2006","2006-04-15",15,4,2006,1,"nsf200600013","Lasioglossum","quebecense","","f","J_Ascher","rachael winfree","Mertensia_virginica","Mertensia","virginica","baldpate","reference","net",40.323194,-74.896388,"low: specimens collected throughout large area rou","Mercer","NJ","USA","KU","","","","bee","Lasioglossum","quebecense","J. Gibbs","quebecense",40.323,-74.896,NULL,NULL
"nsf2006","2006-04-15",15,4,2006,1,"nsf200600014","Lasioglossum","quebecense","","f","J_Ascher","rachael winfree","Mertensia_virginica","Mertensia","virginica","baldpate","reference","net",40.323194,-74.896388,"low: specimens collected throughout large area rou","Mercer","NJ","USA","KU","","","","bee","Lasioglossum","quebecense","J. Gibbs","quebecense",40.323,-74.896,NULL,NULL
"nsf2006","2006-04-15",15,4,2006,1,"nsf200600015","Lasioglossum","subviridatum","","f","J_Ascher","rachael winfree","Claytonia_virginica","Claytonia","virginica","baldpate","reference","net",40.323194,-74.896388,"low: specimens collected throughout large area rou","Mercer","NJ","USA","KU","SD: treat as unique species; he's not sure what species it is though","","","bee","Lasioglossum","subviridatum","J. Gibbs","subviridatum",40.323,-74.896,NULL,NULL
"nsf2006","2006-04-15",15,4,2006,1,"nsf200600016","Andrena","erigeniae","","m","J_Ascher","rachael winfree","Claytonia_virginica","Claytonia","virginica","baldpate","reference","net",40.323194,-74.896388,"low: specimens collected throughout large area rou","Mercer","NJ","USA","KU","","","","bee","Andrena","erigeniae","T. Griswold","erigeniae",40.323,-74.896,NULL,NULL
"nsf2006","2006-04-15",15,4,2006,1,"nsf200600017","Andrena","carlini","","f","J_Ascher","rachael winfree","Cardamine_concatenata","Cardamine","concatenata","baldpate","reference","net",40.323194,-74.896388,"low: specimens collected throughout large area rou","Mercer","NJ","USA","KU","","recorded in field as Dentaria laciniata","","bee","Andrena","carlini","T. Griswold","carlini",40.323,-74.896,NULL,NULL
